tconst	averageRating	numVotes
tt0165402	5.3	9
tt0165459	5.9	16
tt0165489	2.7	231
tt0165895	5.6	393
tt0166158	5.7	1959
tt0166286	6.3	21
tt0166339	7.8	9
tt0166742	6.5	11
tt0166800	5.8	108
tt0166846	5.4	9
tt0167262	6.5	8
tt0167294	6.2	29
tt0167504	7.3	72
tt0167673	6.9	8
tt0168011	7.5	42
tt0168130	6.6	43
tt0168165	4.5	44
tt0168246	6.2	9
tt0168265	6.4	300
tt0168432	6.2	6
tt0168739	5.7	15
tt0169068	7.9	15
tt0169465	4.6	35
tt0169718	7.1	235
tt0170002	7.8	5
tt0170345	7.6	16
tt0170379	4.7	6
tt0170896	8.6	673
tt0171548	6.2	12
tt0171699	8.5	47
tt0171855	5.0	22
tt0172025	8.1	73
tt0172029	8.1	13
tt0172031	6.2	1381
tt0172055	7.8	5
tt0173040	6.6	7
tt0173769	7.3	601
tt0173805	8.2	5
tt0173831	5.7	6
tt0173986	8.1	57
tt0174044	7.6	5
tt0174404	8.4	1070
tt0174451	7.2	5
tt0174578	5.8	21
tt0174917	2.3	4120
tt0175471	7.1	232
tt0175513	2.2	5
tt0175654	6.2	33
tt0176182	7.1	27
tt0176311	5.6	15
tt0176657	5.6	13
tt0176839	3.8	5
tt0176895	6.4	9
tt0177277	7.2	22
tt0177670	6.3	7
tt0177676	7.2	17
tt0178060	6.9	14
tt0178132	6.7	780
tt0178235	5.4	7
tt0178252	6.4	16
tt0178338	6.0	6
tt0178360	7.2	81
tt0178366	5.2	5
tt0178525	5.9	12
tt0178786	3.7	88
tt0178933	4.5	67
tt0178991	6.1	13
tt0179360	5.6	8
tt0179421	5.4	16
